Episode,Return
1,-436.8990575008125
2,-471.8453450220263
3,-442.860951562269
4,-456.367955969093
5,-457.79368569936
6,-448.0212206067576
7,-441.28305404206253
8,-467.907115494849
9,-474.2503508475535
10,-477.54367421043327
11,-504.61052265307205
12,-495.89384331733663
13,-661.2643685528963
14,-481.2722351959522
15,-526.6521307881118
16,-463.84356159566636
17,-524.0492777561726
18,-501.7441078820448
19,-466.69127332874905
20,-690.7852324611026
21,-355.9755314984226
22,-427.1265687489795
23,-383.16764275321555
24,-633.2709519807615
25,-420.97821634717013
26,-685.8487686566577
27,-590.6189402405063
28,-436.2105455904449
29,-595.8805176921996
30,-356.7927467616927
31,-633.1312287066932
32,-534.3966887181227
33,-403.0241128041852
34,-398.9020161100707
35,-687.1191642619059
36,-361.0546626697918
37,-342.6130019443474
38,-448.1980196703371
39,-421.72471107299793
40,-418.835282533394
41,-1019.1128485622935
42,-339.174760521606
43,-411.7959705988717
44,-571.150579474368
45,-699.2498526925109
46,-614.6771060783773
47,-710.9213444613221
48,-335.8058002814607
49,-397.05889812744476
50,-461.04977628494
51,-353.39478502059757
52,-455.6486862084648
53,-398.9696596455386
54,-362.35521063458157
55,-330.3844058971292
56,-454.3531061210529
57,-548.3654875463965
58,-454.30465056862005
59,-1032.9424614869843
60,-722.1523699417554
61,-439.73861944011344
62,-351.4025922662832
63,-671.1679848615668
64,-379.7530117113867
65,-497.00922934191556
66,-690.519210250731
67,-464.16894970796704
68,-391.5233872237833
69,-417.32331076995973
70,-361.7502004343587
71,-697.3440701942574
72,-517.9368855358381
73,-408.58803893742004
74,-418.798381464194
75,-770.3365987573447
76,-374.8998545211041
77,-478.93108236901685
78,-676.3279860859564
79,-663.7398701051239
80,-700.2349135140571
81,-349.40856163376657
82,-413.38812822452326
83,-413.6791651620206
84,-692.8727905755991
85,-619.098351331342
86,-497.12784513454955
87,-582.8339195629604
88,-510.09018222199927
89,-570.2825088355678
90,-415.96456541446423
91,-647.6113203498788
92,-703.8510319566476
93,-457.78166384990834
94,-679.934769759388
95,-348.80637801175715
96,-573.7298288342695
97,-363.7490549302296
98,-710.1133940438319
99,-517.7259475041287
100,-696.5251734528232
101,-354.5452432117328
102,-575.5612711385343
103,-579.619190462448
104,-692.5057487301642
105,-599.0962187989172
