Episode,Return
162,-675.723543798944
163,-599.7419512349468
164,-689.6515672283501
165,-668.9488097994765
166,-454.2664975416918
167,-628.1324460497129
168,-700.025926158488
169,-881.9447960174266
170,-665.1573236889857
171,-592.2137630747476
172,-424.29845193860325
173,-656.3718545555379
174,-577.1241694463814
175,-573.2562548287674
176,-436.37007020579523
177,-585.3087291181415
178,-733.1336255280409
179,-682.0609044465981
180,-594.7976411645351
181,-555.3128549818965
182,-722.5190216967436
183,-373.89939024954003
184,-678.5743827657411
185,-525.3678785550455
186,-430.7252542211415
187,-517.4319286755172
188,-846.6297090333899
189,-686.9030346917258
190,-569.418648308827
191,-816.8282402829822
192,-69.95549332255928
193,-395.58486153887674
194,-728.285486913831
195,-714.3271048039002
196,-683.6399669639852
197,-769.9416161542454
198,-619.5980222881152
199,-399.1098954242227
200,-438.5605811695134
201,-562.603457607453
202,-502.0526561114673
203,-494.9327619878697
204,-350.2817626322917
205,-370.8932054531465
206,-660.1001361701992
207,-357.898632321841
208,-752.5351715714785
209,-549.2705429451946
210,-409.4171049904534
211,-501.8210502123412
212,-808.4970830349996
213,-592.7529874479048
214,-342.5409825396231
215,-718.6286996479186
216,-621.8617092652419
217,-638.5025188817384
218,-500.2803535606889
219,-1011.3612059391439
220,-62.36767021375783
221,-580.1108182605203
222,-695.717442219214
223,-361.8516341295251
224,-426.1422752924991
225,-681.9154428405529
226,-362.57016000372937
227,-565.7118751516664
228,-717.2301772648041
229,-631.39147173633
230,-641.7379674660449
231,-580.2472567179477
232,-369.04137520582253
233,-520.6728639712509
234,-412.09966469829726
235,-436.43063136784303
236,-730.5559856916213
237,-510.52278754395655
238,-572.7672364367146
239,-544.9697988146114
240,-641.8014533944648
241,-762.550170059691
242,-657.5740536960066
243,-367.2801953953982
244,-666.9774563869489
245,-359.18197713268245
246,-738.3248208943887
247,-732.9122406633667
248,-588.8703160897426
249,-713.2047402887151
250,-68.33991622736653
251,-705.4699621469097
252,-571.0298277340714
253,-586.3959199971954
254,-426.09892267985106
255,-420.2331919718392
256,-362.65797833738986
257,-380.3939114841629
258,-342.9402621634879
259,-715.5865027971374
260,-761.6638648754182
261,-665.0893125457065
262,-366.22791042085936
263,-711.8739856227944
264,-739.070169097584
265,-692.6799280838328
266,-464.8839063794827
267,-550.5880441250791
268,-639.9430144982381
269,-506.88003978857324
270,-536.6937106021296
271,-715.0238511035895
272,-705.8009824715259
273,-707.5975700206913
274,-432.9489660862097
275,-511.88866201116537
276,-709.6388346602256
277,-544.7204781310899
278,-669.7637163806967
279,-813.0804500181821
280,-586.0038438954059
281,-525.9725029083629
282,-477.8018735926071
283,-348.60640828523617
284,-35.6660189594013
285,-867.9966431852456
286,-744.8659756129529
287,-688.2927739962329
288,-684.9723979441787
289,-484.77332299033594
290,-638.6893114941812
291,-542.9621237447293
292,-351.0910586755711
293,-390.6655340219122
294,-769.4548575812273
295,-529.6050111791407
296,-559.3887545789505
297,-665.1995338191905
298,-722.8916326354378
299,-562.1995450346969
300,-661.5191991873555
301,-585.4420405236012
302,-554.2310645103131
303,-767.3063311888284
304,-515.6622403501445
305,-397.1451066040914
306,-706.532025078312
307,-711.7232847147752
308,-697.5126170700721
309,-689.0929723522066
310,-449.2917323813066
311,-443.25533711887806
312,-641.3618865910622
313,-681.9676095001643
314,-690.4013974622283
315,-599.3349376194919
316,-576.4435711523579
317,-733.1212082815467
318,-650.8838622757673
319,-666.4871936874317
320,-469.5657200515673
321,0.9921642830656197
322,-463.11147796145315
323,-799.6159705221537
324,-407.3553356365551
325,-635.6054436429679
326,-420.17070917116007
327,-574.1855962939708
328,-512.3337818438218
329,-626.4258346976229
330,-538.7817762913635
331,-569.1133575884285
332,-597.9287134429358
333,-631.3624483480073
334,-523.9801424162495
335,-603.0242044514998
336,-632.0769775769531
337,-671.1803629531157
338,-545.6896918514057
339,-509.37533433444554
340,-527.0827584332768
341,-557.4911719623626
342,-501.6953833033442
343,-459.756045342629
344,-514.1467910009884
345,-559.1680968716826
346,-503.3874966054052
347,-517.1337663617471
348,-688.4779688325107
349,-553.0249605933357
350,-657.29094372002
351,-561.8535478164601
352,-523.5660970361353
353,-568.4659520795651
354,-474.93970426450716
355,-586.3220509156292
356,-602.9173634045972
357,11.293118916482342
358,40.2326155285956
359,-670.2018844016183
360,34.28653006208805
361,-595.8034670541956
362,-584.3228676268328
363,-563.6129921375547
364,-661.7450612540434
365,-16.03629603184902
366,-803.9135536036423
367,-580.7785380835487
368,-695.628925093581
369,5.272805739288344
370,-1.5961422815743163
371,5.478724204979301
372,3.7765475589703215
373,-604.7066328583937
374,-33.217767361625306
375,-716.6529801294955
376,-995.115935621325
377,-25.31784343319805
378,24.899726632580553
379,-670.5076258042852
380,-730.884748258768
381,-677.0636720312743
382,-671.8830277124898
383,-683.2409397997612
384,-695.800324360482
385,-683.0813941939117
386,-681.0753240901385
387,-659.6782238743671
388,-655.9695843608504
389,-676.7401261905335
390,-647.6267818534599
391,-650.0344135152345
392,-658.0626204721646
393,-664.463458940585
394,-672.3584653613548
395,-651.3660152825081
396,-670.4004338656516
397,-679.5099296786125
398,-692.4638731615472
399,-678.7812385662953
400,-684.9263168457966
401,-658.5215038213755
402,-682.781628785572
403,-697.3862193847621
404,-682.0231484715209
405,-661.1499904127636
406,-671.4645676158744
