mean_deviation,mean_speed,mean_latacc,episode_reward
5.697535067745245,0.0020616251381786466,0.0,-500
5.697535067745245,0.0020616251381786466,0.0,-500
5.697530868016108,0.0020616251381786466,0.0,-500
5.697530868016108,0.0020616251381786466,0.0,-500
5.697532967880677,0.0020616251381786466,0.0,-500
5.697530868016108,0.0020616251381786466,0.0,-500
5.697535067745245,0.0020616251381786466,0.0,-500
5.697532967880677,0.0020616251381786466,0.0,-500
5.697532967880677,0.0020616251381786466,0.0,-500
5.697532967880677,0.0020616251381786466,0.0,-500
